periodo;indice
01/01/2002;72,4
01/02/2002;69,7
01/03/2002;77,4
01/04/2002;79,6
01/05/2002;80,4
01/06/2002;77,5
01/07/2002;83,3
01/08/2002;83,6
01/09/2002;82,1
01/10/2002;89,2
01/11/2002;83,9
01/12/2002;74,6
01/01/2003;74
01/02/2003;71,8
01/03/2003;77,4
01/04/2003;76,5
01/05/2003;79,7
01/06/2003;76,3
01/07/2003;81,3
01/08/2003;81,6
01/09/2003;85,7
01/10/2003;90
01/11/2003;84,6
01/12/2003;77,9
01/01/2004;76,8
01/02/2004;74
01/03/2004;86,9
01/04/2004;82,2
01/05/2004;86,3
01/06/2004;86,1
01/07/2004;90,1
01/08/2004;92,1
01/09/2004;92,1
01/10/2004;93,5
01/11/2004;91,8
01/12/2004;84,7
01/01/2005;81
01/02/2005;76,4
01/03/2005;88
01/04/2005;87
01/05/2005;91,1
01/06/2005;91,4
01/07/2005;90,5
01/08/2005;95,6
01/09/2005;92
01/10/2005;93,7
01/11/2005;92,4
01/12/2005;86,6
01/01/2006;83,7
01/02/2006;80,2
01/03/2006;92,4
01/04/2006;85,7
01/05/2006;95,4
01/06/2006;91,1
01/07/2006;93,8
01/08/2006;98,6
01/09/2006;93,2
01/10/2006;97,5
01/11/2006;95,9
01/12/2006;87
01/01/2007;87
01/02/2007;82,6
01/03/2007;96,4
01/04/2007;90,6
01/05/2007;99,9
01/06/2007;96,9
01/07/2007;99,8
01/08/2007;104,9
01/09/2007;98,4
01/10/2007;107,8
01/11/2007;102,4
01/12/2007;92,6
01/01/2008;94,8
01/02/2008;91,1
01/03/2008;97,7
01/04/2008;99,2
01/05/2008;102,5
01/06/2008;103,3
01/07/2008;108,5
01/08/2008;106,9
01/09/2008;107,3
01/10/2008;108,4
01/11/2008;96,2
01/12/2008;79,1
01/01/2009;78,7
01/02/2009;76,1
01/03/2009;88,6
01/04/2009;85,2
01/05/2009;91,3
01/06/2009;92,2
01/07/2009;97,7
01/08/2009;99,6
01/09/2009;99,4
01/10/2009;105,6
01/11/2009;101,4
01/12/2009;94,1
01/01/2010;91,2
01/02/2010;89
01/03/2010;105,1
01/04/2010;99,3
01/05/2010;104,3
01/06/2010;102,5
01/07/2010;106,9
01/08/2010;108,1
01/09/2010;105,8
01/10/2010;107,7
01/11/2010;106,8
01/12/2010;96,6
01/01/2011;93,2
01/02/2011;95,4
01/03/2011;104,4
01/04/2011;97,5
01/05/2011;107,1
01/06/2011;102,8
01/07/2011;106,1
01/08/2011;110,8
01/09/2011;104,8
01/10/2011;106,3
01/11/2011;104,2
01/12/2011;95,7
01/01/2012;88,7
01/02/2012;89,8
01/03/2012;99,7
01/04/2012;92,8
01/05/2012;102,5
01/06/2012;98,3
01/07/2012;104,5
01/08/2012;111,5
01/09/2012;103,4
01/10/2012;111,8
01/11/2012;104,8
01/12/2012;92,2
01/01/2013;94,5
01/02/2013;88,1
01/03/2013;97,7
01/04/2013;101,8
01/05/2013;105
01/06/2013;101,7
01/07/2013;108
01/08/2013;112
01/09/2013;107,3
01/10/2013;112,6
01/11/2013;106,1
01/12/2013;90,1
01/01/2014;92,6
01/02/2014;92,3
01/03/2014;97,3
01/04/2014;96
01/05/2014;101,7
01/06/2014;94,9
01/07/2014;104,4
01/08/2014;106,3
01/09/2014;105,6
01/10/2014;109,3
01/11/2014;99,8
01/12/2014;87,7
01/01/2015;88,1
01/02/2015;83,7
01/03/2015;94,3
01/04/2015;88,8
01/05/2015;93,1
01/06/2015;92,5
01/07/2015;95,5
01/08/2015;97,6
01/09/2015;94,3
01/10/2015;97,2
01/11/2015;87,6
01/12/2015;77,2
01/01/2016;76,3
01/02/2016;75,8
01/03/2016;83,7
01/04/2016;83
01/05/2016;86,3
01/06/2016;87,7
01/07/2016;89,6
01/08/2016;93
01/09/2016;90,7
01/10/2016;90,2
01/11/2016;86,5
01/12/2016;77,2
01/01/2017;77,9
01/02/2017;75,9
01/03/2017;85,4
01/04/2017;79,3
01/05/2017;90,1
01/06/2017;88,4
01/07/2017;92,1
01/08/2017;96,7
01/09/2017;93
01/10/2017;95,1
01/11/2017;90,6
01/12/2017;81
01/01/2018;82,3
01/02/2018;77,3
01/03/2018;86,2
01/04/2018;86,5
01/05/2018;84,4
01/06/2018;91,1
01/07/2018;95,8
01/08/2018;98,2
01/09/2018;90,7
01/10/2018;95,8
01/11/2018;89,5
01/12/2018;78
01/01/2019;80,6
01/02/2019;79,1
01/03/2019;81
01/04/2019;83,4
01/05/2019;90,9
01/06/2019;85,8
01/07/2019;93,4
01/08/2019;96,2
01/09/2019;91,8
01/10/2019;97
01/11/2019;88
01/12/2019;76,9
01/01/2020;79,9
01/02/2020;78,9
01/03/2020;78
